标题： 有老哥要上星耀的吗 微信ywj20001016 	 链接：http://tieba.baidu.com//p/5423696443 	 发帖人：稳得一笔 	 发帖时间：09:57 	 回复数量： 2 
标题： 有无进群打耀耀的 	 链接：http://tieba.baidu.com//p/5423734002 	 发帖人：江斯遇 	 发帖时间：10:17 	 回复数量： 26 
标题： 找人中午一起打游戏，铂金段位，坑不坑无所谓，玩的开心就好 	 链接：http://tieba.baidu.com//p/5423767045 	 发帖人：chen523344 	 发帖时间：10:34 	 回复数量： 3 
标题： 排位吗，就现在 	 链接：http://tieba.baidu.com//p/5423754754 	 发帖人：回执em 	 发帖时间：10:28 	 回复数量： 8 
标题： [交友]等一个cp 还带我老婆一起玩的那种 	 链接：http://tieba.baidu.com//p/5423660639 	 发帖人：初淸淸 	 发帖时间：09:36 	 回复数量： 86 
标题： 有人排位吗.. 不坑  安卓Q213056548qwq 	 链接：http://tieba.baidu.com//p/5423738409 	 发帖人：果粒多 	 发帖时间：10:19 	 回复数量： 18 
标题： 有重庆的小哥哥小姐姐麽 	 链接：http://tieba.baidu.com//p/5423767702 	 发帖人：里去她不 	 发帖时间：10:34 	 回复数量： 4 
标题： 想免费上二十颗星么 借拉分号 	 链接：http://tieba.baidu.com//p/5422387186 	 发帖人：ましに 	 发帖时间：11-9 	 回复数量： 7 
标题： 英魂之刃队友招募 	 链接：http://tieba.baidu.com//p/5423731691 	 发帖人：日日好9 	 发帖时间：10:16 	 回复数量： 10 
标题： 我要招大神！贼6的那种！ 	 链接：http://tieba.baidu.com//p/5423761720 	 发帖人：灏忕緤缇... 	 发帖时间：10:31 	 回复数量： 3 
标题： 需要上分加我哟 	 链接：http://tieba.baidu.com//p/5423761272 	 发帖人：因为我很... 	 发帖时间：10:31 	 回复数量： 25 
标题： 想免费上二十颗星么 借拉分号 	 链接：http://tieba.baidu.com//p/5422387186 	 发帖人：ましに 	 发帖时间：11-9 	 回复数量： 7 
标题： 英魂之刃队友招募 	 链接：http://tieba.baidu.com//p/5423731691 	 发帖人：日日好9 	 发帖时间：10:16 	 回复数量： 10 
标题： 我要招大神！贼6的那种！ 	 链接：http://tieba.baidu.com//p/5423761720 	 发帖人：灏忕緤缇... 	 发帖时间：10:31 	 回复数量： 3 
标题： 需要上分加我哟 	 链接：http://tieba.baidu.com//p/5423761272 	 发帖人：因为我很... 	 发帖时间：10:31 	 回复数量： 25 
标题： 是我有毒 还是 游戏有毒 	 链接：http://tieba.baidu.com//p/5423762123 	 发帖人：青墨云 	 发帖时间：10:31 	 回复数量： 7 
标题： adc是个代练。我就邀他打一把看看。结果。。。感觉    是 	 链接：http://tieba.baidu.com//p/5423755667 	 发帖人：自己还是... 	 发帖时间：10:28 	 回复数量： 3 
标题： 某宝搜王者荣耀露娜教程 免费试看课时 	 链接：http://tieba.baidu.com//p/5416514499 	 发帖人：久月长安 	 发帖时间：11-7 	 回复数量： 0 
标题： S9赛季英雄梯度分析，你的本命英雄排在哪？ 	 链接：http://tieba.baidu.com//p/5420383752 	 发帖人：久月长安 	 发帖时间：11-8 	 回复数量： 125 
标题： 最悲伤的事就是皮肤碎片多了没皮肤换，背包还有满的时候。好气 	 链接：http://tieba.baidu.com//p/5423769464 	 发帖人：爱的如此... 	 发帖时间：10:35 	 回复数量： 0 
标题： 请问你们用苹果8p是不是和我一样的情况 	 链接：http://tieba.baidu.com//p/5423723101 	 发帖人：丶兔斯基... 	 发帖时间：10:11 	 回复数量： 7 
标题： 5折出皮肤，需要的加 	 链接：http://tieba.baidu.com//p/5422963149 	 发帖人：遥远的他... 	 发帖时间：11-9 	 回复数量： 23 
标题： 想建一个王者的维新群一起开黑，有想法的小伙伴一起啊，二哈镇楼 	 链接：http://tieba.baidu.com//p/5423769353 	 发帖人：陌上花不负 	 发帖时间：10:35 	 回复数量： 0 
标题： 谁能告诉我这12个红包自己开了，是不是年费svip 	 链接：http://tieba.baidu.com//p/5408598261 	 发帖人：universe37 	 发帖时间：11-3 	 回复数量： 9 
标题： iso微信  cp闺蜜都要 楼主是妹纸可连麦 	 链接：http://tieba.baidu.com//p/5423761363 	 发帖人：可爱讨人... 	 发帖时间：10:31 	 回复数量： 2 
标题： 帮基友出个农药号！大致如图，因种种原因弃游，号码无好友，安全 	 链接：http://tieba.baidu.com//p/5423753759 	 发帖人：苫萸芫 	 发帖时间：10:27 	 回复数量： 9 
标题： 共号，安卓手Q 	 链接：http://tieba.baidu.com//p/5423740148 	 发帖人：脂凝 	 发帖时间：10:20 	 回复数量： 25 
标题： 荣耀摘星组 	 链接：http://tieba.baidu.com//p/5420035115 	 发帖人：情歌王歪... 	 发帖时间：11-8 	 回复数量： 31 
标题： 那啥……有没有小哥哥教我玩猴子我做跟班也行然后我很菜鸡，别拿 	 链接：http://tieba.baidu.com//p/5423750055 	 发帖人：覃反弹 	 发帖时间：10:25 	 回复数量： 9 
标题： 【交友】找一个人挂小心心的可以么_(:з」∠)_ 	 链接：http://tieba.baidu.com//p/5416412660 	 发帖人：伊吹云笺 	 发帖时间：11-6 	 回复数量： 63 
标题： 找老哥共个号皮肤多点安卓然后有改名卡，皮肤80+段位我包 	 链接：http://tieba.baidu.com//p/5423753594 	 发帖人：快手搜索... 	 发帖时间：10:27 	 回复数量： 10 
标题： 有麻油很闲滴女孩子 我们养火花 打游戏 	 链接：http://tieba.baidu.com//p/5422871591 	 发帖人：鱼是你呢 	 发帖时间：11-9 	 回复数量： 81 
标题： 这个游戏好难 	 链接：http://tieba.baidu.com//p/5413912224 	 发帖人：唐僧也在... 	 发帖时间：11-5 	 回复数量： 22 
标题： ［扩列］我能帮你摘星星吗？ 	 链接：http://tieba.baidu.com//p/5423741373 	 发帖人：威胁 	 发帖时间：10:21 	 回复数量： 18 
标题： 这样的对象 倒贴都不稀罕 	 链接：http://tieba.baidu.com//p/5423186467 	 发帖人：无处不桃花 	 发帖时间：01:26 	 回复数量： 63 
标题： 可不可以给我一个热热闹闹的王者小圈子，不嫌弃的，脾气好的，谢 	 链接：http://tieba.baidu.com//p/5423758536 	 发帖人：啊啊啊凉 	 发帖时间：10:29 	 回复数量： 8 
标题： 有徒弟吗 没啥要好就喜欢送皮肤 	 链接：http://tieba.baidu.com//p/5355905006 	 发帖人：反胃 	 发帖时间：10-5 	 回复数量： 1045 
标题： 星耀以上的大神进本人因工作繁忙，不想打了，号放着就浪费了，想 	 链接：http://tieba.baidu.com//p/5423767095?fid=837839 	 发帖人：为我独乒 	 发帖时间：10:34 	 回复数量： 2 
标题： 秋水：早上再急，早饭不能急 	 链接：http://tieba.baidu.com//p/5423724831?fid=837839 	 发帖人：万万没想... 	 发帖时间：10:12 	 回复数量： 1 
标题： 说好带我上分，结果……气哭/(ㄒoㄒ)/~~ 	 链接：http://tieba.baidu.com//p/5423726131 	 发帖人：湫酿酱 	 发帖时间：10:13 	 回复数量： 4 
标题： 卖号，价格有意者咨询我，真的不想玩了，63个英雄，每个英雄基 	 链接：http://tieba.baidu.com//p/5423762096 	 发帖人：埃及艳后1... 	 发帖时间：10:31 	 回复数量： 4 
标题： 前排 	 链接：http://tieba.baidu.com//p/5421309124 	 发帖人：ZaynWorld 	 发帖时间：11-9 	 回复数量： 173 
标题： 一不小心弄丢了一个大家伙 	 链接：http://tieba.baidu.com//p/5418354100 	 发帖人：我在地狱... 	 发帖时间：11-7 	 回复数量： 272 
标题： ios  qq等一个可爱的徒弟 	 链接：http://tieba.baidu.com//p/5423728137 	 发帖人：回溯的心 	 发帖时间：10:14 	 回复数量： 29 
标题： 我就想问有多少妹子会打野，就是现在王者局能carry 	 链接：http://tieba.baidu.com//p/5423741068 	 发帖人：爱notneed 	 发帖时间：10:21 	 回复数量： 13 
标题： 怎么说，能语音排的妹子滴滴我 	 链接：http://tieba.baidu.com//p/5423407673?fid=837839 	 发帖人：粗暴的叔... 	 发帖时间：05:12 	 回复数量： 63 
标题： 现在版本最强中单！残血反杀五个 	 链接：http://tieba.baidu.com//p/5417613468?fid=837839 	 发帖人：超想吧唧... 	 发帖时间：11-7 	 回复数量： 14 
标题： 【交友】k列 处cp 	 链接：http://tieba.baidu.com//p/5423768774 	 发帖人：超想吧唧... 	 发帖时间：10:34 	 回复数量： 0 
标题： 等一个缘分安卓手q 关联情头都依你 	 链接：http://tieba.baidu.com//p/5423103350 	 发帖人：敌三千我... 	 发帖时间：00:30 	 回复数量： 105 
标题： 有没有一起玩小号的 	 链接：http://tieba.baidu.com//p/5423642755 	 发帖人：威耶 	 发帖时间：09:26 	 回复数量： 31 
标题： 有木有前100战队收留，想要一个高渐离皮肤，可以每周打战队赛 	 链接：http://tieba.baidu.com//p/5419491977 	 发帖人：神仙 	 发帖时间：11-8 	 回复数量： 16 
标题： 收徒做师徒任务 	 链接：http://tieba.baidu.com//p/5423763857 	 发帖人：柚子OUO 	 发帖时间：10:32 	 回复数量： 1 
标题： 就现在    打排位吗  铂金局 	 链接：http://tieba.baidu.com//p/5423756034 	 发帖人：阳光的wwww_ 	 发帖时间：10:28 	 回复数量： 4 
标题： 我受不了了，钻二直接掉钻四。心态炸裂 	 链接：http://tieba.baidu.com//p/5417421125 	 发帖人：柚愿丶 	 发帖时间：11-7 	 回复数量： 143 
标题： 安卓q区砖排，等女大学生！这个号有点毒，容易排***，小心为 	 链接：http://tieba.baidu.com//p/5423760201 	 发帖人：qq123732962 	 发帖时间：10:30 	 回复数量： 9 
标题： 有没有王者的群呢，一个人很无聊，滴我QQ1137612112 	 链接：http://tieba.baidu.com//p/5423010516 	 发帖人：百亦丶 	 发帖时间：11-9 	 回复数量： 12 
标题： 在美国，有一家小企业老板，一直 	 链接：http://tieba.baidu.com//p/5423718741?fid=837839 	 发帖人：nanfangwolf 	 发帖时间：10:09 	 回复数量： 3 
标题： 奶奶个腿！这个活动出了我的皮肤是不是就不值钱了？腾讯快赔我钱 	 链接：http://tieba.baidu.com//p/5417449887 	 发帖人：卜川裤裤 	 发帖时间：11-7 	 回复数量： 186 
标题： 安卓手Q共号 	 链接：http://tieba.baidu.com//p/5423631483 	 发帖人：妩媚 	 发帖时间：09:19 	 回复数量： 37 
标题： 小哥哥有吗 	 链接：http://tieba.baidu.com//p/5423674557 	 发帖人：小婵儿 	 发帖时间：09:44 	 回复数量： 88 
标题： 告诉我没错就是你 在玩贴吧之前是不是在玩王者荣耀 	 链接：http://tieba.baidu.com//p/5422253042 	 发帖人：还在这里 	 发帖时间：11-9 	 回复数量： 55 
标题： 卖号，真的不想玩了，六十四个英雄，钻石二，价格有意者咨询我 	 链接：http://tieba.baidu.com//p/5423758115 	 发帖人：埃及艳后1... 	 发帖时间：10:29 	 回复数量： 5 
标题： 有女孩子的二字车队吗qwq 	 链接：http://tieba.baidu.com//p/5423485437 	 发帖人：地狱间的... 	 发帖时间：07:04 	 回复数量： 161 
标题： 钻石排位上星耀加。时间多的来。 	 链接：http://tieba.baidu.com//p/5423733928 	 发帖人：落叶知秋c... 	 发帖时间：10:17 	 回复数量： 18 
标题： 生活还得继续，不是么 	 链接：http://tieba.baidu.com//p/5397426988 	 发帖人：十六夜de夜 	 发帖时间：10-29 	 回复数量： 203 
标题： 老铁们我的李白是不是没救了 	 链接：http://tieba.baidu.com//p/5414110736 	 发帖人：俯首称臣 	 发帖时间：11-6 	 回复数量： 287 
标题： 还记得刚玩这个游戏的自己多菜吗 	 链接：http://tieba.baidu.com//p/5421391172 	 发帖人：趁他不会... 	 发帖时间：11-9 	 回复数量： 124 
标题： 我红孔雀歌厅台柱子 希望你们支持 	 链接：http://tieba.baidu.com//p/5423761457 	 发帖人：排位必输 	 发帖时间：10:31 	 回复数量： 2 
标题： 三等二，缺中单，辅助，一起上分，留图，我私聊你！ 	 链接：http://tieba.baidu.com//p/5423740090 	 发帖人：星空下的... 	 发帖时间：10:20 	 回复数量： 22 
标题： 处cp 	 链接：http://tieba.baidu.com//p/5423674805 	 发帖人：九尾 	 发帖时间：09:44 	 回复数量： 21 
标题： 庄周的逍遥游鲲鹏抱枕有人要么？免费送 	 链接：http://tieba.baidu.com//p/5423733517 	 发帖人：豆豆直播 	 发帖时间：10:17 	 回复数量： 17 
标题： 发你的游戏id 1-10 九分以上加好友 	 链接：http://tieba.baidu.com//p/5413799774 	 发帖人：礼咎 	 发帖时间：11-5 	 回复数量： 2492 
标题： 处cp打野的张飞见过没？ 	 链接：http://tieba.baidu.com//p/5423358928?fid=837839 	 发帖人：Zzfeng 	 发帖时间：04:08 	 回复数量： 56 
标题： 不想过节有无... 	 链接：http://tieba.baidu.com//p/5423742362 	 发帖人：十四 	 发帖时间：10:21 	 回复数量： 19 
标题： 前战队解散了，队长WBD带着小姨子跑路了，我们没有办法，我们 	 链接：http://tieba.baidu.com//p/5422013610 	 发帖人：柒亟_ 	 发帖时间：11-9 	 回复数量： 20 
标题： 这就是你们所要的资料干净？ 	 链接：http://tieba.baidu.com//p/5421333775 	 发帖人：功与名 	 发帖时间：11-9 	 回复数量： 462 
标题： （王者荣耀） 有没有北京ios系统区的人？急急急望回复 	 链接：http://tieba.baidu.com//p/5423754693?fid=837839 	 发帖人：夏目友人... 	 发帖时间：10:28 	 回复数量： 1 
标题： 处CP，找大神，一起打游戏！ 	 链接：http://tieba.baidu.com//p/5418512996 	 发帖人：半只大耳朵 	 发帖时间：11-7 	 回复数量： 30 
标题： 处cp。只是为了一个小心心 	 链接：http://tieba.baidu.com//p/5423702157 	 发帖人：冰冰凉凉... 	 发帖时间：10:00 	 回复数量： 18 
标题： 孙文，秦月。我们爱音乐我们异地恋。 	 链接：http://tieba.baidu.com//p/5423707891?fid=837839 	 发帖人：Jadyden 	 发帖时间：10:03 	 回复数量： 1 
标题： 有双排的吗，会版本强势打野或者射手，混分的别来了，可以互拉 	 链接：http://tieba.baidu.com//p/5423522406 	 发帖人：卑恋弹情 	 发帖时间：07:50 	 回复数量： 121 
标题： 哒哒 留下你的微信号我加你不喜勿喷 我技术不咋好早安 	 链接：http://tieba.baidu.com//p/5423751505 	 发帖人：哦乃桑 	 发帖时间：10:26 	 回复数量： 5 
标题： 【交友】处手q微信队友 处qy 	 链接：http://tieba.baidu.com//p/5423693257 	 发帖人：诡栀 	 发帖时间：09:55 	 回复数量： 9 
标题： 王者荣耀ios怎么退款，小孩子充值了，求大帮忙 	 链接：http://tieba.baidu.com//p/5423766560 	 发帖人：吾把昨天... 	 发帖时间：10:33 	 回复数量： 1 
标题： 感觉我要火！ 因为不会玩王者荣耀被女友分手了 是我一个人吗 	 链接：http://tieba.baidu.com//p/5423754995 	 发帖人：312400129 	 发帖时间：10:28 	 回复数量： 7 
标题： 小号找个队友，符文120几。大号防沉迷了。只能玩玩小号，有人 	 链接：http://tieba.baidu.com//p/5423702705 	 发帖人：我从小就... 	 发帖时间：10:00 	 回复数量： 9 
标题： 王者求大神带嘤嘤嘤~ 	 链接：http://tieba.baidu.com//p/5423753637?fid=837839 	 发帖人：彭璐妹纸 	 发帖时间：10:27 	 回复数量： 6 
标题： 王者求大神带嘤嘤嘤~ 	 链接：http://tieba.baidu.com//p/5423753637?fid=837839 	 发帖人：彭璐妹纸 	 发帖时间：10:27 	 回复数量： 6 
标题： 所以是 大佬们 哪个手感好一些 	 链接：http://tieba.baidu.com//p/5423692422 	 发帖人：108 	 发帖时间：09:54 	 回复数量： 24 
标题： 有没有找圈子的进来 就大家一起玩就图个开心然后王者打烦了啥的 	 链接：http://tieba.baidu.com//p/5423579572 	 发帖人：Stars 	 发帖时间：08:42 	 回复数量： 34 
标题： 有没有上分的黄金车队呀 	 链接：http://tieba.baidu.com//p/5404726606 	 发帖人：亦开怀 	 发帖时间：11-2 	 回复数量： 301 
标题： 共号 iOSqq1区 	 链接：http://tieba.baidu.com//p/5423568639 	 发帖人：轻呼吸～ 	 发帖时间：08:33 	 回复数量： 27 
标题： 有没有找固排的 	 链接：http://tieba.baidu.com//p/5423554713 	 发帖人：凉拌受受 	 发帖时间：08:21 	 回复数量： 14 
标题： 找个陪玩情头情网的小哥哥，我可以陪你聊天，连麦玩游戏！排位我 	 链接：http://tieba.baidu.com//p/5423748677?fid=837839 	 发帖人：小叶子么... 	 发帖时间：10:24 	 回复数量： 5 
标题： 昨晚直播打的三角连飘，直线三连，看到视频给我狠狠的戳两下屏幕， 	 链接：http://tieba.baidu.com//p/5416811922 	 发帖人：luckyfei 	 发帖时间：11-7 	 回复数量： 29 
标题： 开一个教学贴 有什么想问的都可以来问 没cp没徒弟 	 链接：http://tieba.baidu.com//p/5414205196 	 发帖人：小五 	 发帖时间：11-6 	 回复数量： 447 
标题： 找游戏队友吧，最好是成都的小哥哥，处到位了可以一起出来玩 	 链接：http://tieba.baidu.com//p/5414327559 	 发帖人：躲在教室... 	 发帖时间：11-6 	 回复数量： 12 
标题： 晚上 偷情 有无 	 链接：http://tieba.baidu.com//p/5423752538 	 发帖人：是纱雾啊 	 发帖时间：10:26 	 回复数量： 11 
标题： 【新赛季组队】分享你的本命英雄，寻找你的上分队友 	 链接：http://tieba.baidu.com//p/5386069770 	 发帖人：夕颜花逝 	 发帖时间：10-23 	 回复数量： 2044 
标题： 玄幻中国版银河护卫队《鲛珠传》是时候展现真正的套路了 	 链接：http://tieba.baidu.com//p/5415605618?fid=837839 	 发帖人：亏了某事 	 发帖时间：11-6 	 回复数量： 5 
标题： 楼主是妹子 可连麦 不坑 男女都可加 一起玩 微信iso 	 链接：http://tieba.baidu.com//p/5423745648 	 发帖人：可爱讨人... 	 发帖时间：10:23 	 回复数量： 4 
标题： ……真是无语 	 链接：http://tieba.baidu.com//p/5422393216 	 发帖人：青是受伤b... 	 发帖时间：11-9 	 回复数量： 11 
标题： 有没有一起打匹配的啊 没有的话我待会儿再问 	 链接：http://tieba.baidu.com//p/5423585227?fid=837839 	 发帖人：帝王不存 	 发帖时间：08:47 	 回复数量： 28 
标题： 第一次网恋陷的那么深，网恋去死，我先来~~~~~~ 	 链接：http://tieba.baidu.com//p/5415542651 	 发帖人：592fg 	 发帖时间：11-6 	 回复数量： 61 
标题： 不同系统我也不介意呢 	 链接：http://tieba.baidu.com//p/5423239602 	 发帖人：元香 	 发帖时间：02:06 	 回复数量： 53 
标题： 好﹨U多﹨好﹨看﹨的﹨小﹨视﹨频﹨+XH96555 	 链接：http://tieba.baidu.com//p/5423765018?fid=837839 	 发帖人：不是佐撇子 	 发帖时间：10:33 	 回复数量： 0 
标题： 想组个十个人的小圈子 	 链接：http://tieba.baidu.com//p/5423608626 	 发帖人：sky超伤感 	 发帖时间：09:04 	 回复数量： 67 
标题： 问下你们现在上分用的英雄 	 链接：http://tieba.baidu.com//p/5419124662 	 发帖人：神明宠爱... 	 发帖时间：11-8 	 回复数量： 529 
标题： 微信小战队收人，晚上妹子免费带上分 	 链接：http://tieba.baidu.com//p/5423758304 	 发帖人：HenningTC 	 发帖时间：10:29 	 回复数量： 2 
标题： 【交友】连麦有无就现在 	 链接：http://tieba.baidu.com//p/5423752558 	 发帖人：湿身調情 	 发帖时间：10:26 	 回复数量： 8 
标题： 需要上分加我好吧 	 链接：http://tieba.baidu.com//p/5423726443 	 发帖人：以后还有... 	 发帖时间：10:13 	 回复数量： 13 
标题： 共号共号共号。iOS 	 链接：http://tieba.baidu.com//p/5417390619 	 发帖人：简单 	 发帖时间：11-7 	 回复数量： 85 
标题： 蹲一个cp.甜甜情头都和你用. 	 链接：http://tieba.baidu.com//p/5422939918 	 发帖人：任浮笙 	 发帖时间：11-9 	 回复数量： 115 
标题： 处个唯一，你来了就别走好吧？ 	 链接：http://tieba.baidu.com//p/5421013630 	 发帖人：烟岚夜 	 发帖时间：11-9 	 回复数量： 56 
标题： 王者荣耀法术吸血上限是多少 	 链接：http://tieba.baidu.com//p/5423751573 	 发帖人：月裔界 	 发帖时间：10:26 	 回复数量： 2 
标题： 来点ios vx区的好友，非主流误扰，太小误扰。每赛季打上王 	 链接：http://tieba.baidu.com//p/5413873174 	 发帖人：_灵魂颤栗_ 	 发帖时间：11-5 	 回复数量： 40 
标题： 我想知道你们都是用哪个英雄完成这个成就的 真的是超鸡难啊！ 	 链接：http://tieba.baidu.com//p/5415781270 	 发帖人：谜兔 	 发帖时间：11-6 	 回复数量： 610 
标题： 话说我一个排位胜率连50%都没有的人心情怎么样 	 链接：http://tieba.baidu.com//p/5423682668 	 发帖人：画意贼可... 	 发帖时间：09:49 	 回复数量： 29 
标题： 人总是在接近幸福时倍感幸福，在 	 链接：http://tieba.baidu.com//p/5423759058?fid=837839 	 发帖人：夜色Xm70as6 	 发帖时间：10:30 	 回复数量： 2 
标题： 安卓手q150战队收人      多找几个小哥哥，群内小姐姐 	 链接：http://tieba.baidu.com//p/5423615706 	 发帖人：请叫我轲... 	 发帖时间：09:09 	 回复数量： 52 
标题： 连麦打游戏懂我的意思嘛？ 	 链接：http://tieba.baidu.com//p/5423157317 	 发帖人：赠颂 	 发帖时间：01:05 	 回复数量： 31 
标题： 剑来？？？今天才看前几天的干将技能改动，名字真的恶心人 	 链接：http://tieba.baidu.com//p/5423715349 	 发帖人：奕笙菌 	 发帖时间：10:07 	 回复数量： 7 
标题： 【交友】处cp不绿安稳换情头情网空间挂你关系置顶系统:安卓手 	 链接：http://tieba.baidu.com//p/5423700253 	 发帖人：抱抱潇潇 	 发帖时间：09:59 	 回复数量： 35 
标题： iOS系统有没有代练拉分的 钻二两颗星   不会顶号 随时玩 	 链接：http://tieba.baidu.com//p/5423723366 	 发帖人：尢干 	 发帖时间：10:12 	 回复数量： 3 
标题： 帮我家闺蜜找个专一的cp可以吗 	 链接：http://tieba.baidu.com//p/5412663575 	 发帖人：_Maeve丶 	 发帖时间：11-5 	 回复数量： 12 
标题： wx区5排缺实力中单 	 链接：http://tieba.baidu.com//p/5423601187 	 发帖人：秋祁欧巴... 	 发帖时间：08:59 	 回复数量： 48 
标题： 血王宫回忆大师三星怎么过啊！ 	 链接：http://tieba.baidu.com//p/4927422337 	 发帖人：windy丶蓝汐 	 发帖时间：1-5 	 回复数量： 328 
标题： 有一起回归的玩家吗 	 链接：http://tieba.baidu.com//p/5423726527 	 发帖人：木鱼伈 	 发帖时间：10:13 	 回复数量： 16 
标题： 王者荣耀最佳好队友李白：我都不敢动生怕抢了你的五杀！ 	 链接：http://tieba.baidu.com//p/5409458862 	 发帖人：dnf的NPC 	 发帖时间：11-4 	 回复数量： 10 
标题： 见到了职业选手的恐怖 	 链接：http://tieba.baidu.com//p/5418767943 	 发帖人：三国小佳 	 发帖时间：11-8 	 回复数量： 484 
标题： 发你的游戏名称，猜你的第一英雄 	 链接：http://tieba.baidu.com//p/5412567636 	 发帖人：蔓乜 	 发帖时间：11-5 	 回复数量： 2028 
标题： 杀手不太冷和大秦宣太后哪一个更好？ 	 链接：http://tieba.baidu.com//p/5419010681 	 发帖人：NUMB 	 发帖时间：11-8 	 回复数量： 133 
标题： 没有素质的射手VS美丽可爱小辅助 	 链接：http://tieba.baidu.com//p/5423650502 	 发帖人：拥抱llfree 	 发帖时间：09:31 	 回复数量： 10 
标题： 找意中人，可以每天晚上陪我连麦。全网无前任。 	 链接：http://tieba.baidu.com//p/5423691491 	 发帖人：芹妹子丶 	 发帖时间：09:54 	 回复数量： 21 
标题： 找战队 	 链接：http://tieba.baidu.com//p/5423762663 	 发帖人：yy晓蚂蚁 	 发帖时间：10:31 	 回复数量： 0 
标题： 戴打看二楼 	 链接：http://tieba.baidu.com//p/5423754106 	 发帖人：晴晴哟 	 发帖时间：10:27 	 回复数量： 9 
标题： 【交友】日常等小哥哥 	 链接：http://tieba.baidu.com//p/5423730060 	 发帖人：因为你是... 	 发帖时间：10:15 	 回复数量： 28 
标题： 有没有小哥哥带带我 	 链接：http://tieba.baidu.com//p/5423664118 	 发帖人：苛舍与初 	 发帖时间：09:38 	 回复数量： 8 
标题： 只会一个英雄的我该怎么上分 	 链接：http://tieba.baidu.com//p/5423013784 	 发帖人：小攻 	 发帖时间：11-9 	 回复数量： 18 
标题： 【全能魔王】这些英雄五个位置都可以打 懂得操作就可以补位了！ 	 链接：http://tieba.baidu.com//p/5423759175 	 发帖人：小巷大姐1 	 发帖时间：10:30 	 回复数量： 2 
标题： 有没有玩小号的 	 链接：http://tieba.baidu.com//p/5423753166 	 发帖人：杀手大小姐 	 发帖时间：10:27 	 回复数量： 6 
标题： 一个出血书的小乔 	 链接：http://tieba.baidu.com//p/5419831173 	 发帖人：我这个2货s 	 发帖时间：11-8 	 回复数量： 10 
